code,name,gender,country_code,nationality,disciplines,birth_date
1963384,MOLLENHAUER Alexandra,Female,AZE,Azerbaijan,['3x3 Basketball'],4.05.1998
1963385,WALKER Marcedes,Female,AZE,Azerbaijan,['3x3 Basketball'],17.10.1986
1963386,HAYES Tiffany,Female,AZE,Azerbaijan,['3x3 Basketball'],20.09.1989
1963424,MOJSOVSKA Anastasija,Female,MKD,North Macedonia,['Shooting'],19.06.2002
1963505,YARIGO Noelie,Female,BEN,Benin,['Athletics'],26.12.1985
1963520,SEDJATI Djamel,Male,ALG,Algeria,['Athletics'],3.05.1999
1963543,MILANOV Phili,Male,BEL,Belgium,['Athletics'],6.07.1991
1963549,MOULA Slimane,Male,ALG,Algeria,['Athletics'],25.02.1999
1963562,WALSH Michaela,Female,IRL,Ireland,['Boxing'],5.06.1993
1963577,TRIKI Yasser Mohammed,Male,ALG,Algeria,['Athletics'],24.03.1997
1963584,BOUANANI Amine,Male,ALG,Algeria,['Athletics'],17.10.1997
1963587,BOULOUSSA Mehdi,Male,ALG,Algeria,['Table Tennis'],15.05.1995
1963632,MURASA Tatsuya,Male,JPN,Japan,['Swimming'],27.03.2007
1963633,TANIGUCHI Taku,Male,JPN,Japan,['Swimming'],26.09.2001
1963634,HIRAI Mizuki,Female,JPN,Japan,['Swimming'],7.03.2007
1963635,MATSUSHITA Tomoyuki,Male,JPN,Japan,['Swimming'],1.08.2005
1963638,MATSUYAMA Riku,Male,JPN,Japan,['Swimming'],29.09.2001
1963639,MATSUMOTO Shiho,Female,JPN,Japan,['Swimming'],3.04.2002
1963640,YANAGIMOTO Konosuke,Male,JPN,Japan,['Swimming'],24.11.2003
1963651,TATAR Zahra,Female,ALG,Algeria,['Athletics'],10.11.1992
1963653,MICALLEF Kyle,Male,MLT,Malta,['Swimming'],20.06.2001
1963655,KISOKA Arnold,Male,COD,DR Congo,['Judo'],4.09.2000
1963658,BAUM Sarah,Female,RSA,South Africa,['Surfing'],26.01.1994
1963660,SMITH Jordy,Male,RSA,South Africa,['Surfing'],11.02.1988
1963661,McGILLIVRAY Matthew,Male,RSA,South Africa,['Surfing'],26.03.1997
1963680,KHENNOUSSI Oussama,Male,ALG,Algeria,['Athletics'],28.12.1999
1963709,LOGHRAIBI Lynda,Female,ALG,Algeria,['Table Tennis'],3.05.1997
1963716,GOUANED Mohamed Ali,Male,ALG,Algeria,['Athletics'],5.07.2002
1963761,STACEY Harry,Male,GHA,Ghana,['Swimming'],21.03.2000
1963792,TABTI Bilal,Male,ALG,Algeria,['Athletics'],7.06.1993
1963793,SOUMAORO Lassine,Male,MLI,Mali,['Football'],19.12.2002
1963799,KOUGIOUMTSIDIS Georgios,Male,GRE,Greece,['Wrestling'],9.10.2001
1963800,KURUGLIEV Dauren,Male,GRE,Greece,['Wrestling'],12.07.1992
1963806,PREVOLARAKI Maria,Female,GRE,Greece,['Wrestling'],21.12.1991
1963842,ROOSKRANTZ Caitlin,Female,RSA,South Africa,['Artistic Gymnastics'],5.11.2001
1963862,ROBAN Handal,Male,VIN,StVincent&Grenadines,['Athletics'],5.09.2002
1963875,MALONEY Shafiqua,Female,VIN,StVincent&Grenadines,['Athletics'],27.02.1999
1963896,SYOUD Jaouad,Male,ALG,Algeria,['Swimming'],17.09.1999
1963898,MENSAH Joselle,Female,GHA,Ghana,['Swimming'],26.09.2003
1963914,MIHALEV Todor,Male,BUL,Bulgaria,['Modern Pentathlon'],27.04.1997
1963915,GINES LOPEZ Alberto,Male,ESP,Spain,['Sport Climbing'],23.10.2002
1963918,ROMERO PEREZ Leslie Adriana,Female,ESP,Spain,['Sport Climbing'],18.03.1998
1964008,NIYOMUKUNZI Francine,Female,BDI,Burundi,['Athletics'],1.08.1999
1964029,NDIKUMANA Celestin,Male,BDI,Burundi,['Athletics'],22.02.2002
1964049,FERNANDES P.X.CAVALCANTE Adriano,Male,BRA,Brazil,['Volleyball'],6.02.2002
1964053,DIEGO MARIANO LANCI Arthur,Male,BRA,Brazil,['Beach Volleyball'],13.02.1996
1964058,SILVA RAMOS Ana Patricia,Female,BRA,Brazil,['Beach Volleyball'],29.09.1997
1964063,da SILVA Ana Carolina,Female,BRA,Brazil,['Volleyball'],8.04.1991
1964064,SOUZA Alan,Male,BRA,Brazil,['Volleyball'],21.03.1994
1964065,MENEZES OLIVEIRA de SOUZA Ana Cris,Female,BRA,Brazil,['Volleyball'],7.04.2004
1964066,LOYOLA STEIN Andre,Male,BRA,Brazil,['Beach Volleyball'],19.08.1994
1964067,SEIXAS de FREITAS Barbara,Female,BRA,Brazil,['Beach Volleyball'],3.08.1987
1964069,REZENDE Bruno Mossa,Male,BRA,Brazil,['Volleyball'],2.07.1986
1964075,SOLBERG SALGADO Carolina,Female,BRA,Brazil,['Beach Volleyball'],6.08.1987
1964076,DUARTE ALECRIM Diana,Female,BRA,Brazil,['Volleyball'],22.02.1999
1964083,FERREIRA SOUZA Darlan,Male,BRA,Brazil,['Volleyball'],24.06.2002
1964085,GONCALVES OLIVEIRA JUNIOR Evandro,Male,BRA,Brazil,['Beach Volleyball'],17.07.1990
1964088,SANTOS LISBOA Eduarda,Female,BRA,Brazil,['Beach Volleyball'],1.08.1998
1964089,RESENDE GUALBERTO Flavio,Male,BRA,Brazil,['Volleyball'],22.04.1993
1964090,GIL KRELING Fernando,Male,BRA,Brazil,['Volleyball'],13.01.1996
1964094,BRAGA GUIMARAES Gabriela,Female,BRA,Brazil,['Volleyball'],19.05.1994
