start_date;end_date;status;discipline_code;event_name;phase;gender;venue;event_code;url;schedule_code
1.08.2024 18:30;1.08.2024 19:20;FINISHED;BDM;Women's Singles;Women's Singles Round of 16;W;La Chapelle Arena;70;/en/paris-2024/results/badminton/women-s-singles/8fnl000700--;2049
1.08.2024 18:32;1.08.2024 18:45;FINISHED;ARC;Women's Individual;Women's Individual 1/32 Elimination Rnd;W;Invalides;1;/en/paris-2024/results/archery/women-s-individual/r64-000100--;2050
1.08.2024 18:40;1.08.2024 19:01;CANCELLED;SAL;Women's Windsurfing;Women's Windsurfing Opening Series;W;Marseille Marina;208;;2051
1.08.2024 18:45;1.08.2024 18:58;FINISHED;ARC;Women's Individual;Women's Individual 1/32 Elimination Rnd;W;Invalides;1;/en/paris-2024/results/archery/women-s-individual/r64-000200--;2052
1.08.2024 18:58;1.08.2024 19:11;FINISHED;ARC;Men's Individual;Men's Individual 1/16 Elimination Round;M;Invalides;0;/en/paris-2024/results/archery/men-s-individual/r32-001200--;2053
1.08.2024 18:59;1.08.2024 19:20;CANCELLED;SAL;Men's Windsurfing;Men's Windsurfing Opening Series;M;Marseille Marina;204;;2054
1.08.2024 19:00;1.08.2024 20:30;FINISHED;HBL;Women;Women's Preliminary Round Group A;W;South Paris Arena 6;164;/en/paris-2024/results/handball/women/gpa-001100--;2055
1.08.2024 19:00;1.08.2024 19:30;FINISHED;SRF;Women;Women's Round 3;W;Teahupo'o  Tahiti;238;/en/paris-2024/results/surfing/women/8fnl--------;2056
1.08.2024 19:00;1.08.2024 20:30;FINISHED;TEN;Men's Singles;Men's Singles Quarter-finals;M;Roland-Garros Stadium;287;/en/paris-2024/results/tennis/men-s-singles/qfnl000100--;2057
1.08.2024 19:00;1.08.2024 22:00;FINISHED;TEN;Women's Singles;Women's Singles Semi-finals;W;Roland-Garros Stadium;288;/en/paris-2024/results/tennis/women-s-singles/sfnl000200--;2058
