medal_date,medal_code,country_code,team_gender,discipline,event,code_athlete,code_team
2024-08-03,2,CAN,W,Rowing,Women's Eight,1967530,ROWWCOXED8--CAN01
2024-07-29,3,CAN,M,Diving,Men's Synchronised 10m Platform,1959146,DIVM10MTEAM2CAN01
2024-07-30,2,CAN,W,Rugby Sevens,Women,1960837,RU7WTEAM7---CAN01
2024-07-29,3,CAN,M,Diving,Men's Synchronised 10m Platform,1959132,DIVM10MTEAM2CAN01
2024-08-09,1,NZL,W,Canoe Sprint,Women's Kayak Double 500m,1945383,CSPWK2-500M-NZL01
2024-08-09,1,NZL,W,Canoe Sprint,Women's Kayak Double 500m,1945378,CSPWK2-500M-NZL01
2024-08-08,2,ITA,M,Canoe Sprint,Men's Canoe Double 500m,1548871,CSPMC2-500M-ITA01
2024-08-08,2,ITA,M,Canoe Sprint,Men's Canoe Double 500m,1548868,CSPMC2-500M-ITA01
2024-08-03,1,CHN,W,Badminton,Women's Doubles,1913438,BDMWDOUBLES-CHN02
2024-08-03,1,CHN,W,Badminton,Women's Doubles,1913439,BDMWDOUBLES-CHN02
2024-08-04,3,MAS,M,Badminton,Men's Doubles,1566564,BDMMDOUBLES-MAS01
2024-08-04,3,MAS,M,Badminton,Men's Doubles,1569961,BDMMDOUBLES-MAS01
2024-08-07,3,AUS,Mixed,Athletics,Marathon Race Walk Relay Mixed,1939848,ATHX42KWALKTAUS01
2024-08-07,3,AUS,Mixed,Athletics,Marathon Race Walk Relay Mixed,1939791,ATHX42KWALKTAUS01
2024-08-11,2,CRO,M,Water Polo,Men,1915766,WPOMTEAM7---CRO01
2024-08-11,2,CRO,M,Water Polo,Men,1915801,WPOMTEAM7---CRO01
2024-08-11,2,CRO,M,Water Polo,Men,1915769,WPOMTEAM7---CRO01
2024-08-11,2,CRO,M,Water Polo,Men,1915768,WPOMTEAM7---CRO01
2024-08-11,2,CRO,M,Water Polo,Men,1915778,WPOMTEAM7---CRO01
2024-08-11,2,CRO,M,Water Polo,Men,1915784,WPOMTEAM7---CRO01
2024-08-11,2,CRO,M,Water Polo,Men,1915782,WPOMTEAM7---CRO01
2024-08-11,2,CRO,M,Water Polo,Men,1915781,WPOMTEAM7---CRO01
2024-08-11,2,CRO,M,Water Polo,Men,1915802,WPOMTEAM7---CRO01
2024-08-11,2,CRO,M,Water Polo,Men,1915793,WPOMTEAM7---CRO01
2024-08-02,1,CRO,M,Rowing,Men's Pair,1916685,ROWMNOCOX2--CRO01
2024-08-02,1,CRO,M,Rowing,Men's Pair,1921490,ROWMNOCOX2--CRO01
2024-08-11,2,CRO,M,Water Polo,Men,1915790,WPOMTEAM7---CRO01
2024-08-11,2,CRO,M,Water Polo,Men,1915792,WPOMTEAM7---CRO01
2024-08-11,2,CRO,M,Water Polo,Men,1915791,WPOMTEAM7---CRO01
2024-08-09,2,HUN,W,Canoe Sprint,Women's Kayak Double 500m,1568350,CSPWK2-500M-HUN01
2024-08-09,2,HUN,W,Canoe Sprint,Women's Kayak Double 500m,1568750,CSPWK2-500M-HUN01
2024-08-02,3,CZE,M,Fencing,Men's Épée Team,1914523,FENMTEAMEPEECZE01
2024-08-02,3,CZE,M,Fencing,Men's Épée Team,1914531,FENMTEAMEPEECZE01
2024-08-02,3,CZE,M,Fencing,Men's Épée Team,1914535,FENMTEAMEPEECZE01
2024-08-02,3,CZE,M,Fencing,Men's Épée Team,1914540,FENMTEAMEPEECZE01
2024-08-02,3,CAN,Mixed,Tennis,Mixed Doubles,1972646,TENXDOUBLES-CAN01
2024-08-02,3,CAN,Mixed,Tennis,Mixed Doubles,1972627,TENXDOUBLES-CAN01
2024-08-08,3,SWE,Mixed,Sailing,Mixed Dinghy,1564652,SALX470-----SWE01
2024-08-08,3,SWE,Mixed,Sailing,Mixed Dinghy,1564651,SALX470-----SWE01
2024-07-31,2,PRK,W,Diving,Women's Synchronised 10m Platform,1980116,DIVW10MTEAM2PRK01
2024-07-31,2,PRK,W,Diving,Women's Synchronised 10m Platform,1980115,DIVW10MTEAM2PRK01
2024-08-10,3,DEN,W,Handball,Women,1895210,HBLWTEAM7---DEN01
2024-08-11,1,DEN,M,Handball,Men,1895178,HBLMTEAM7---DEN01
2024-08-11,1,DEN,M,Handball,Men,1895236,HBLMTEAM7---DEN01
2024-08-03,2,DEN,No Team,Equestrian,Dressage Team,1892359,EQUODRESTEAMDEN01
2024-08-10,3,DEN,W,Handball,Women,1895215,HBLWTEAM7---DEN01
2024-08-10,3,DEN,W,Handball,Women,1895152,HBLWTEAM7---DEN01
2024-08-11,1,DEN,M,Handball,Men,1895237,HBLMTEAM7---DEN01
2024-08-11,1,DEN,M,Handball,Men,1895234,HBLMTEAM7---DEN01
2024-08-10,3,DEN,W,Handball,Women,1895159,HBLWTEAM7---DEN01
2024-08-11,1,DEN,M,Handball,Men,1895235,HBLMTEAM7---DEN01
2024-08-10,3,DEN,W,Handball,Women,1895250,HBLWTEAM7---DEN01
2024-08-10,3,DEN,W,Handball,Women,1895232,HBLWTEAM7---DEN01
2024-08-10,3,DEN,W,Handball,Women,1895213,HBLWTEAM7---DEN01
2024-08-10,3,DEN,W,Handball,Women,1895226,HBLWTEAM7---DEN01
2024-08-11,1,DEN,M,Handball,Men,1895241,HBLMTEAM7---DEN01
2024-08-11,1,DEN,M,Handball,Men,1895223,HBLMTEAM7---DEN01
