medal_date,medal_code,gender,country_code,team_gender,discipline,event,code_athlete,code_team,id
11.08.2024,3,M,USA,M,Water Polo,Men,1908359,WPOMTEAM7---USA01,815
3.08.2024,3,M,USA,M,Rowing,Men's Eight,1944696,ROWMCOXED8--USA01,816
10.08.2024,1,F,USA,W,Athletics,Women's 4 x 400m Relay,1960909,ATHW4X400M--USA01,818
9.08.2024,3,M,USA,M,Volleyball,Men,1918000,VVOMTEAM6---USA01,819
29.07.2024,3,M,USA,M,Artistic Gymnastics,Men's Team,1959781,GARMTEAM----USA01,820
11.08.2024,3,M,USA,M,Water Polo,Men,1908360,WPOMTEAM7---USA01,823
10.08.2024,1,F,USA,W,Football,Women,1943558,FBLWTEAM11--USA01,825
5.08.2024,3,F,USA,W,3x3 Basketball,Women,1954738,BK3WTEAM3---USA01,831
7.08.2024,2,F,USA,O,Artistic Swimming,Team,1943043,SWAWTEAM8---USA01,848
27.07.2024,2,F,USA,W,Swimming,Women's 4 x 100m Freestyle Relay,1935923,SWMW4X100MFRUSA01,851
3.08.2024,1,F,USA,X,Swimming,Mixed 4 x 100m Medley Relay,1935923,SWMX4X100MMDUSA01,852
4.08.2024,1,F,USA,W,Swimming,Women's 4 x 100m Medley Relay,1935923,SWMW4X100MMDUSA01,853
11.08.2024,1,F,USA,W,Basketball,Women,1954739,BKBWTEAM5---USA01,861
11.08.2024,3,M,USA,M,Water Polo,Men,1908361,WPOMTEAM7---USA01,863
9.08.2024,3,M,USA,M,Volleyball,Men,1918002,VVOMTEAM6---USA01,875
10.08.2024,1,M,USA,M,Basketball,Men,1954714,BKBMTEAM5---USA01,883
9.08.2024,1,F,USA,W,Athletics,Women's 4 x 100m Relay,1961011,ATHW4X100M--USA01,893
9.08.2024,3,M,USA,M,Volleyball,Men,1918003,VVOMTEAM6---USA01,895
29.07.2024,3,M,USA,M,Artistic Gymnastics,Men's Team,1959855,GARMTEAM----USA01,922
2.08.2024,3,F,USA,X,Archery,Mixed Team,1955601,ARCXTEAM2---USA01,945
30.07.2024,3,F,USA,W,Rugby Sevens,Women,1950494,RU7WTEAM7---USA01,954
30.07.2024,2,M,USA,M,Swimming,Men's 4 x 200m Freestyle Relay,1935931,SWMM4X200MFRUSA01,974
1.08.2024,1,F,USA,W,Fencing,Women's Foil Team,1950611,FENWTEAMFOILUSA01,976
4.08.2024,1,F,USA,W,Swimming,Women's 4 x 100m Medley Relay,1935932,SWMW4X100MMDUSA01,997
27.07.2024,1,M,USA,M,Swimming,Men's 4 x 100m Freestyle Relay,1935933,SWMM4X100MFRUSA01,998
30.07.2024,3,F,USA,W,Rugby Sevens,Women,1950495,RU7WTEAM7---USA01,1005
5.08.2024,2,F,USA,X,Triathlon,Mixed Relay,1930739,TRIXTEAM4---USA01,1018
2.08.2024,2,F,USA,O,Equestrian,Jumping Team,1951840,EQUOJUMPTEAMUSA01,1046
10.08.2024,1,F,USA,W,Football,Women,1943566,FBLWTEAM11--USA01,1050
7.08.2024,2,F,USA,O,Artistic Swimming,Team,1943044,SWAWTEAM8---USA01,1061
11.08.2024,2,F,USA,W,Volleyball,Women,1917752,VVOWTEAM6---USA01,1076
