team_code,coaches_codes
HBLWTEAM7---ANG01,"['1911256', '1912238', '1936918', '3058748']"
HBLWTEAM7---BRA01,"['1561282', '1561288', '1561292', '9230002', '9230003']"
HBLWTEAM7---DEN01,"['1895269', '1895270', '1895274', '1895278', '1895279', '9230004']"
HBLWTEAM7---ESP01,"['1948318', '1948319', '1948321', '1948331', '1948335', '9230006']"
HBLWTEAM7---FRA01,"['1879871', '1879872', '1879873', '1879875', '1879878', '1879879']"
HBLWTEAM7---GER01,"['1899286', '1899296', '1899298', '1899299', '1899301', '1899303']"
HBLWTEAM7---HUN01,"['1933362', '1933372', '1933382', '1933393', '1933407']"
HBLWTEAM7---KOR01,"['1927873', '1927879', '1927880', '9230007', '9230008', '9230009']"
HBLWTEAM7---NED01,"['1970311', '1970312', '1970317', '1970322', '9230010', '9230011']"
HBLWTEAM7---NOR01,"['1894614', '1894662', '1894663', '1894666', '1894711', '1894714', '9230020']"
HBLWTEAM7---SLO01,"['1980943', '1980962', '1980971', '1980979', '1981359', '3057246']"
HBLWTEAM7---SWE01,"['1559048', '1559051', '1559053', '1559066', '1559067', '9230001']"
HOCMTEAM11--ARG01,"['1538327', '1538745', '1538746', '1538748', '1538749', '1538751', '1538754']"
HOCMTEAM11--AUS01,"['1945433', '1945439', '1945449', '1945465', '1945466']"
HOCMTEAM11--BEL01,"['1903895', '1903896', '1903899', '1903900', '1922671', '1942806', '1949449', '1949459']"
HOCMTEAM11--ESP01,"['1934444', '1934447', '1934448', '1934458', '1934462']"
HOCMTEAM11--FRA01,"['1895408', '1895409', '1895410', '1895412', '1895413', '1895414', '1895417', '1895418']"
HOCMTEAM11--GBR01,"['1899054', '1899059', '1899063', '1899066', '1899068', '1899070', '1923811']"
HOCMTEAM11--GER01,"['1561722', '1561725', '1561727', '1561732', '1561741', '1561744']"
HOCMTEAM11--IND01,"['1543574', '1543575', '1543576', '1543578', '1545096', '1545098', '9240004']"
HOCMTEAM11--IRL01,"['1563945', '1563956', '1563957', '1563958', '1888498', '1888733', '2041080']"
HOCMTEAM11--NED01,"['1972025', '1972034', '1972035', '1972045', '1972053', '1972055', '1972056', '1972126']"
HOCMTEAM11--NZL01,"['1926526', '1926527', '1926529', '1926530', '1926532', '1926534']"
HOCMTEAM11--RSA01,"['1972652', '1972654', '1972655', '1972658', '1972659', '1972660', '1979384', '9240003']"
HOCWTEAM11--ARG01,"['1538313', '1538315', '1538317', '1538318', '1538320', '1538324', '1538327', '1538329']"
HOCWTEAM11--AUS01,"['1945447', '1945449', '1945451', '1945459', '1945465', '1945480']"
HOCWTEAM11--BEL01,"['1903894', '1903897', '1903898', '1922670', '1922672', '1922673', '1942804', '1942833', '1942834', '1949449', '1963552', '1963556']"
HOCWTEAM11--CHN01,"['1926933', '1926934', '1926943', '1927174', '1927175', '3975763']"
HOCWTEAM11--ESP01,"['1934443', '1934448', '1934451', '1934454', '1934469']"
HOCWTEAM11--FRA01,"['1906040', '1906041', '1906042', '1906043', '1906044', '1906045']"
HOCWTEAM11--GBR01,"['1899057', '1899061', '1899063', '1899065', '1899068', '1899069', '1923811']"
HOCWTEAM11--GER01,"['1561718', '1561719', '1561723', '1561725', '1561726', '1561734', '1561736', '1561738']"
HOCWTEAM11--JPN01,"['1888335', '1888338', '1888342', '1888344', '1888347', '9240005', '9240006']"
HOCWTEAM11--NED01,"['1972028', '1972030', '1972031', '1972037', '1972052', '1972057']"
HOCWTEAM11--RSA01,"['1965159', '1965160', '1965161', '1965162', '1965167', '1965168', '1965170', '1965171', '9240002']"
HOCWTEAM11--USA01,"['1954065', '1954067', '1954068', '1954069', '1954070', '1954072']"
JUDXTEAM6---AUT01,
JUDXTEAM6---BRA01,
JUDXTEAM6---CAN01,
JUDXTEAM6---EOR01,
JUDXTEAM6---ESP01,
JUDXTEAM6---FRA01,
JUDXTEAM6---GEO01,
JUDXTEAM6---GER01,
JUDXTEAM6---HUN01,
JUDXTEAM6---ISR01,
JUDXTEAM6---ITA01,
JUDXTEAM6---JPN01,
JUDXTEAM6---KAZ01,
JUDXTEAM6---KOR01,
JUDXTEAM6---MGL01,
JUDXTEAM6---NED01,
JUDXTEAM6---SRB01,
JUDXTEAM6---TUR01,
JUDXTEAM6---UZB01,
ROWMCOXED8--AUS01,
ROWMCOXED8--GBR01,
ROWMCOXED8--GER01,
ROWMCOXED8--ITA01,
ROWMCOXED8--NED01,
ROWMCOXED8--ROU01,
ROWMCOXED8--USA01,
ROWMNOCOX2--AUS01,
ROWMNOCOX2--CRO01,
ROWMNOCOX2--ESP01,
ROWMNOCOX2--GBR01,
ROWMNOCOX2--GER01,
ROWMNOCOX2--IRL01,
ROWMNOCOX2--ITA01,
