start_date,end_date,status,phase,gender,venue,event_code,url
2024-07-27 10:36:00,2024-07-27 10:42:00,FINISHED,Men -60 kg Elimination Round of 32,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/r32-001200--
2024-07-27 10:42:00,2024-07-27 10:48:00,FINISHED,Women -48 kg Elimination Round of 32,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/r32-000900--
2024-07-27 10:42:00,2024-07-27 10:48:00,FINISHED,Men -60 kg Elimination Round of 32,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/r32-001400--
2024-07-27 10:48:00,2024-07-27 10:54:00,FINISHED,Women -48 kg Elimination Round of 32,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/r32-001000--
2024-07-27 10:48:00,2024-07-27 10:54:00,FINISHED,Men -60 kg Elimination Round of 32,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/r32-001600--
2024-07-27 10:50:00,2024-07-27 11:15:00,FINISHED,Women's Épée Individual Table of 32,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r32-000100--
2024-07-27 10:50:00,2024-07-27 11:15:00,FINISHED,Women's Épée Individual Table of 32,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r32-000500--
2024-07-27 10:50:00,2024-07-27 11:15:00,FINISHED,Women's Épée Individual Table of 32,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r32-000900--
2024-07-27 10:50:00,2024-07-27 11:15:00,FINISHED,Women's Épée Individual Table of 32,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r32-001300--
2024-07-27 10:54:00,2024-07-27 11:00:00,FINISHED,Women -48 kg Elimination Round of 32,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/r32-001100--
2024-07-27 10:54:00,2024-07-27 11:00:00,FINISHED,Men -60 kg Elimination Round of 16,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/8fnl000100--
2024-07-27 11:00:00,2024-07-27 12:00:00,FINISHED,Men's Singles Group Play Stage - Grp C,M,La Chapelle Arena,69,/en/paris-2024/results/badminton/men-s-singles/gpc-000100--
2024-07-27 11:00:00,2024-07-27 12:00:00,FINISHED,Men's Singles Group Play Stage - Grp A,M,La Chapelle Arena,69,/en/paris-2024/results/badminton/men-s-singles/gpa-000300--
2024-07-27 11:00:00,2024-07-27 12:00:00,FINISHED,Women's Doubles Group Play Stage - Grp A,W,La Chapelle Arena,72,/en/paris-2024/results/badminton/women-s-doubles/gpa-000400--
2024-07-27 11:00:00,2024-07-27 12:45:00,FINISHED,Men's Group Phase - Group A,M,Pierre Mauroy Stadium,74,/en/paris-2024/results/basketball/men/gpa-000100--
2024-07-27 11:00:00,2024-07-27 11:46:00,FINISHED,Women's Synchronised 3m Springboard,W,Aquatics Centre,135,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--
2024-07-27 11:00:00,2024-07-27 12:30:00,FINISHED,Men's Preliminary Round Group B,M,South Paris Arena 6,163,/en/paris-2024/results/handball/men/gpb-000100--
2024-07-27 11:00:00,2024-07-27 11:06:00,FINISHED,Women -48 kg Elimination Round of 32,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/r32-001200--
2024-07-27 11:00:00,2024-07-27 11:06:00,FINISHED,Men -60 kg Elimination Round of 16,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/8fnl000200--
2024-07-27 11:00:00,2024-07-27 11:11:00,FINISHED,Women's 100m Butterfly - Heats,W,Paris La Defense Arena,249,/en/paris-2024/results/swimming/women-s-100m-butterfly/heat--------
2024-07-27 11:06:00,2024-07-27 11:12:00,FINISHED,Women -48 kg Elimination Round of 32,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/r32-001300--
2024-07-27 11:06:00,2024-07-27 11:12:00,FINISHED,Men -60 kg Elimination Round of 16,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/8fnl000300--
2024-07-27 11:12:00,2024-07-27 11:18:00,FINISHED,Women -48 kg Elimination Round of 32,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/r32-001400--
2024-07-27 11:12:00,2024-07-27 11:18:00,FINISHED,Men -60 kg Elimination Round of 16,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/8fnl000400--
2024-07-27 11:12:00,2024-07-27 11:30:00,FINISHED,Women's 400m Freestyle - Heats,W,Paris La Defense Arena,242,/en/paris-2024/results/swimming/women-s-400m-freestyle/heat--------
2024-07-27 11:15:00,2024-07-27 11:40:00,FINISHED,Women's Épée Individual Table of 32,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r32-000200--
2024-07-27 11:15:00,2024-07-27 11:40:00,FINISHED,Women's Épée Individual Table of 32,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r32-000600--
2024-07-27 11:15:00,2024-07-27 11:40:00,FINISHED,Women's Épée Individual Table of 32,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r32-001000--
2024-07-27 11:15:00,2024-07-27 11:40:00,FINISHED,Women's Épée Individual Table of 32,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r32-001400--
2024-07-27 11:18:00,2024-07-27 11:24:00,FINISHED,Women -48 kg Elimination Round of 32,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/r32-001500--
2024-07-27 11:18:00,2024-07-27 11:24:00,FINISHED,Men -60 kg Elimination Round of 16,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/8fnl000500--
2024-07-27 11:24:00,2024-07-27 11:30:00,FINISHED,Women -48 kg Elimination Round of 32,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/r32-001600--
2024-07-27 11:24:00,2024-07-27 11:30:00,FINISHED,Men -60 kg Elimination Round of 16,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/8fnl000600--
2024-07-27 11:30:00,2024-07-27 11:36:00,FINISHED,Women -48 kg Elimination Round of 16,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/8fnl000100--
2024-07-27 11:30:00,2024-07-27 11:36:00,FINISHED,Men -60 kg Elimination Round of 16,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/8fnl000700--
2024-07-27 11:30:00,2024-07-27 11:57:00,FINISHED,Men's Double Sculls Heats,M,Nautical St - Flat water,191,/en/paris-2024/results/rowing/men-s-double-sculls/heat--------
2024-07-27 11:30:00,2024-07-27 11:44:00,FINISHED,Men's 100m Breaststroke - Heats,M,Paris La Defense Arena,264,/en/paris-2024/results/swimming/men-s-100m-breaststroke/heat--------
2024-07-27 11:36:00,2024-07-27 11:42:00,FINISHED,Women -48 kg Elimination Round of 16,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/8fnl000200--
2024-07-27 11:36:00,2024-07-27 11:42:00,FINISHED,Men -60 kg Elimination Round of 16,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/8fnl000800--
2024-07-27 11:40:00,2024-07-27 12:05:00,FINISHED,Women's Épée Individual Table of 32,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r32-000300--
2024-07-27 11:40:00,2024-07-27 12:05:00,FINISHED,Women's Épée Individual Table of 32,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r32-000700--
2024-07-27 11:40:00,2024-07-27 12:05:00,FINISHED,Women's Épée Individual Table of 32,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r32-001100--
2024-07-27 11:40:00,2024-07-27 12:05:00,FINISHED,Women's Épée Individual Table of 32,W,Grand Palais,147,/en/paris-2024/results/fencing/women-s-epee-individual/r32-001500--
2024-07-27 11:42:00,2024-07-27 11:48:00,FINISHED,Women -48 kg Elimination Round of 16,W,Champ-de-Mars Arena,167,/en/paris-2024/results/judo/women--48-kg/8fnl000300--
2024-07-27 11:42:00,2024-07-27 11:48:00,FINISHED,Men -60 kg Quarterfinals,M,Champ-de-Mars Arena,174,/en/paris-2024/results/judo/men--60-kg/qfnl000100--
2024-07-27 11:45:00,2024-07-27 12:14:00,FINISHED,Men's 400m Freestyle - Heats,M,Paris La Defense Arena,259,/en/paris-2024/results/swimming/men-s-400m-freestyle/heat--------
